13,29,1,14,0,25,31,8,39.5,42,3.324949026107788
14,30,1,12,0,26,31,6,43.0,42,3.685183048248291
15,27,0,12,1,24,31,10,40.0,41,3.4348111152648926
11,28,0,15,0,27,31,8,39.0,43,3.185225248336792
12,27,0,12,1,26,31,10,39.5,42,3.3058340549468994
12,27,3,15,2,24,31,9,34.5,39,2.5833821296691895
15,31,0,14,0,23,31,9,41.5,40,2.8944098949432373
14,28,0,13,0,25,31,6,39.5,39,2.9670321941375732
15,27,3,14,2,26,29,7,35.5,41,2.6649138927459717
15,27,3,15,2,24,31,7,35.0,39,2.6584277153015137
12,29,2,16,0,23,30,9,36.5,39,2.934215784072876
13,30,0,15,2,26,31,9,40.0,42,3.017569065093994
15,30,1,13,2,24,31,6,42.0,40,3.0950560569763184
11,27,0,12,2,25,31,10,39.0,40,3.0346648693084717
12,29,0,16,2,27,30,8,38.0,43,3.1727042198181152
11,30,0,14,2,24,31,10,40.0,39,3.1818690299987793
11,29,3,15,1,24,31,7,36.5,40,2.7560641765594482
12,28,1,15,0,25,31,9,37.5,40,2.8544609546661377
14,30,0,15,0,26,30,9,41.0,42,3.4278149604797363
13,30,3,14,2,24,29,6,38.5,38,2.847947835922241
11,30,0,15,2,26,31,6,40.5,43,3.2175540924072266
-----
13,28,13,3,8,23,3,10,29.5,30,2.9914419651031494
14,30,11,2,8,24,1,10,36.0,31,17.251914978027344
12,27,13,1,8,24,1,11,34.5,31,17.837246894836426
11,27,11,5,8,21,4,9,24.0,26,1.9275481700897217
12,28,11,4,9,25,1,10,0.0,1,60.0
14,30,13,5,8,24,1,12,34.5,33,17.356565952301025
15,30,12,2,7,25,4,12,28.5,31,2.403418779373169
12,27,12,5,7,21,2,10,31.0,30,6.934092044830322
14,27,15,4,9,21,2,9,35.5,34,9.336158990859985
11,29,13,1,7,22,2,10,34.5,33,8.131733894348145
15,29,12,5,8,24,2,10,35.5,35,7.867922067642212
13,29,13,2,7,25,1,11,32.5,33,10.153816938400269
15,30,13,5,8,24,2,10,35.5,33,7.985135078430176
12,26,11,4,6,24,2,9,30.0,25,12.01283884048462
12,26,15,4,7,21,3,9,28.5,29,3.418623924255371
13,26,11,5,6,22,4,8,21.5,23,1.605407953262329
12,27,11,1,6,24,3,8,26.0,25,1.9595699310302734
11,30,13,2,9,23,3,8,31.5,33,2.858410120010376
13,30,11,1,9,23,3,9,30.5,30,2.371093988418579
13,30,12,3,7,25,3,8,31.5,30,4.956198215484619
15,30,13,4,7,25,2,8,35.0,33,7.90436315536499
-----
11,10,22,17,20,2,16,16,18.0,15,1.3985788822174072
10,8,23,18,18,0,18,15,22.0,22,1.7382550239562988
10,9,20,16,20,1,15,18,19.5,18,1.7572309970855713
10,8,21,18,22,1,15,18,22.5,20,1.6697092056274414
9,12,24,17,20,4,15,16,19.5,20,1.8542158603668213
11,12,20,15,19,0,15,18,19.0,14,1.9967942237854004
9,9,21,17,22,4,15,14,18.5,19,1.472257137298584
11,9,24,15,19,0,14,14,21.0,19,2.2198331356048584
11,12,24,17,19,4,16,17,20.0,19,1.6044230461120605
9,10,23,17,20,3,16,18,20.0,20,1.5981462001800537
9,8,23,16,19,4,16,17,21.0,19,1.5912761688232422
11,11,21,16,19,4,17,18,16.5,15,1.2611849308013916
9,12,21,19,21,2,15,14,18.5,18,1.5384268760681152
10,10,23,15,20,1,14,16,19.5,17,1.2654662132263184
11,12,21,15,20,3,16,15,14.5,13,0.9278309345245361
9,9,24,19,18,4,14,15,23.0,24,1.853017807006836
13,12,20,18,22,0,16,18,19.5,16,1.5209698677062988
12,10,24,17,18,0,14,15,22.0,21,2.227191209793091
11,12,21,15,19,4,17,15,14.0,13,0.9188780784606934
9,12,23,18,21,1,14,16,21.0,20,1.3385720252990723
11,9,21,19,22,1,17,17,20.5,17,1.4946789741516113
-----
1,12,28,7,7,17,19,4,31.5,28,8.293194055557251
3,14,30,9,8,19,20,2,33.5,30,2.4803249835968018
0,11,30,8,6,17,20,2,35.0,30,2.6308939456939697
0,13,29,6,5,15,18,3,34.5,35,2.423259973526001
0,13,28,8,9,19,20,5,32.0,29,3.129239082336426
3,12,26,6,7,15,17,3,27.5,29,1.9045212268829346
2,10,27,7,7,18,20,2,31.5,28,5.184222936630249
0,13,30,9,8,18,20,5,32.5,29,2.2855870723724365
0,11,30,7,9,15,18,5,30.5,27,12.08063006401062
0,14,26,5,6,19,20,3,33.5,29,2.152600049972534
0,14,26,9,8,15,17,4,27.5,29,1.9214668273925781
0,14,26,5,9,16,21,2,32.5,23,2.1029789447784424
0,10,29,5,8,15,17,3,29.5,29,2.074068307876587
0,12,30,9,8,19,17,2,34.5,29,2.335367202758789
3,12,27,9,9,16,19,3,27.0,27,1.7801830768585205
0,12,29,7,7,15,17,2,31.5,28,2.294327974319458
3,10,29,7,7,19,20,6,30.5,28,4.310797214508057
3,10,28,9,8,15,17,4,25.0,27,1.7153139114379883
0,14,29,7,9,17,17,2,34.5,27,8.664920806884766
