xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
14,30,27,29,31,13,22,28,20.0,12,3.72792911529541
27,29,14,30,22,28,31,13,20.0,12,3.72792911529541
22,16,22,19,6,14,23,27,17.5,22,4.914467096328735
22,19,22,16,23,27,6,14,17.5,22,4.914467096328735
27,7,22,12,22,8,13,31,22.0,28,5.395585060119629
22,12,27,7,13,31,22,8,22.0,28,5.395585060119629
24,18,7,21,12,20,11,3,20.0,18,4.601480007171631
7,21,24,18,11,3,12,20,20.0,18,4.601480007171631
6,6,9,16,19,18,26,24,14.0,15,2.7941792011260986
9,16,6,6,26,24,19,18,14.0,15,2.7941792011260986
1,11,12,13,30,25,22,7,22.5,26,5.093713283538818
12,13,1,11,22,7,30,25,22.5,26,5.093713283538818
20,19,21,5,0,13,20,29,26.5,27,5.910981893539429
21,5,20,19,20,29,0,13,26.5,27,5.910981893539429
16,19,12,7,26,19,22,18,11.5,17,2.5048201084136963
12,7,16,19,22,18,26,19,11.5,17,2.5048201084136963
26,11,2,15,15,17,17,16,17.5,19,4.472738027572632
2,15,26,11,17,16,15,17,17.5,19,4.472738027572632
21,7,0,1,18,29,16,19,25.5,28,4.605882167816162
0,1,21,7,16,19,18,29,25.5,28,4.605882167816162
29,0,27,0,25,1,0,14,22.0,41,5.605900049209595
27,0,29,0,0,14,25,1,22.0,41,5.605900049209595
21,9,26,27,11,19,30,31,30.0,22,4.9126877784729
26,27,21,9,30,31,11,19,30.0,22,4.9126877784729
21,8,2,9,27,29,11,7,31.0,25,5.666953086853027
2,9,21,8,11,7,27,29,31.0,25,5.666953086853027
0,12,6,22,0,9,5,23,21.5,21,3.4038310050964355
6,22,0,12,5,23,0,9,21.5,21,3.4038310050964355
28,18,16,15,9,27,17,0,29.0,27,6.087015867233276
16,15,28,18,17,0,9,27,29.0,27,6.087015867233276
2,1,13,10,18,16,23,31,23.0,24,3.6709959506988525
13,10,2,1,23,31,18,16,23.0,24,3.6709959506988525
7,3,25,1,13,3,5,25,27.0,26,4.128381967544556
25,1,7,3,5,25,13,3,27.0,26,4.128381967544556
30,0,15,27,9,17,17,0,36.5,35,7.285758972167969
15,27,30,0,17,0,9,17,36.5,35,7.285758972167969
10,31,17,23,18,23,25,16,14.5,15,2.1484649181365967
17,23,10,31,25,16,18,23,14.5,15,2.1484649181365967
12,29,13,10,7,16,22,0,28.5,27,4.887521028518677
13,10,12,29,22,0,7,16,28.5,27,4.887521028518677
14,10,18,9,26,9,19,15,10.0,13,1.750863790512085
18,9,14,10,19,15,26,9,10.0,13,1.750863790512085
17,30,17,2,3,31,11,1,39.0,34,5.950927257537842
17,2,17,30,11,1,3,31,39.0,34,5.950927257537842
8,23,17,26,29,25,23,24,11.5,10,1.8882577419281006
17,26,8,23,23,24,29,25,11.5,10,1.8882577419281006
23,18,8,5,26,31,26,29,15.0,25,3.7256019115448
8,5,23,18,26,29,26,31,15.0,25,3.7256019115448
1,1,5,9,1,16,3,18,8.0,10,1.5177361965179443
