xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
26,7,5,17,24,0,2,19,36.0,31,3.618380069732666
5,17,26,7,2,19,24,0,36.0,31,3.618380069732666
10,12,30,28,3,25,4,27,20.5,21,2.8250997066497803
30,28,10,12,4,27,3,25,20.5,21,2.8250997066497803
10,0,11,26,12,25,11,24,17.5,16,2.7529842853546143
11,26,10,0,11,24,12,25,17.5,16,2.7529842853546143
4,1,6,20,4,18,0,19,15.0,11,2.152407169342041
6,20,4,1,0,19,4,18,15.0,11,2.152407169342041
3,25,17,18,15,4,13,25,23.0,17,2.1400601863861084
17,18,3,25,13,25,15,4,23.0,17,2.1400601863861084
17,0,28,10,29,23,15,19,19.5,16,1.5773570537567139
28,10,17,0,15,19,29,23,19.5,16,1.5773570537567139
9,2,15,22,3,8,25,18,31.0,25,3.5517070293426514
15,22,9,2,25,18,3,8,31.0,25,3.5517070293426514
8,17,6,19,26,26,5,0,25.5,20,4.083018779754639
6,19,8,17,5,0,26,26,25.5,20,4.083018779754639
20,4,4,14,7,25,4,12,24.0,17,2.8274097442626953
4,14,20,4,4,12,7,25,24.0,17,2.8274097442626953
14,31,26,26,22,2,31,10,17.0,13,1.3609519004821777
26,26,14,31,31,10,22,2,17.0,13,1.3609519004821777
17,27,1,24,19,26,12,8,24.0,24,2.0809831619262695
1,24,17,27,12,8,19,26,24.0,24,2.0809831619262695
31,7,0,19,19,20,15,5,31.0,29,3.6140730381011963
0,19,31,7,15,5,19,20,31.0,29,3.6140730381011963
16,4,4,11,20,14,15,13,12.5,16,1.3458020687103271
4,11,16,4,15,13,20,14,12.5,16,1.3458020687103271
13,1,7,30,20,7,29,26,33.5,31,3.489861011505127
7,30,13,1,29,26,20,7,33.5,31,3.489861011505127
18,3,17,11,14,14,8,31,17.0,15,2.6396701335906982
17,11,18,3,8,31,14,14,17.0,15,2.6396701335906982
21,14,24,17,30,16,29,26,8.5,9,0.8381178379058838
24,17,21,14,29,26,30,16,8.5,9,0.8381178379058838
14,28,24,22,18,0,27,19,23.0,17,2.4146549701690674
24,22,14,28,27,19,18,0,23.0,17,2.4146549701690674
12,6,19,15,27,10,5,22,25.0,26,3.0979089736938477
19,15,12,6,5,22,27,10,25.0,26,3.0979089736938477
20,24,20,14,23,11,13,19,14.0,10,1.3304719924926758
20,14,20,24,13,19,23,11,14.0,10,1.3304719924926758
24,10,30,7,20,31,31,3,25.0,9,4.369470119476318
30,7,24,10,31,3,20,31,25.0,9,4.369470119476318
28,29,28,31,21,4,3,16,17.0,24,2.835268259048462
28,31,28,29,3,16,21,4,17.0,24,2.835268259048462
12,27,28,6,25,2,27,1,20.0,17,2.7925479412078857
28,6,12,27,27,1,25,2,20.0,17,2.7925479412078857
7,1,10,22,12,9,28,1,25.0,22,1.9860470294952393
10,22,7,1,28,1,12,9,25.0,22,1.9860470294952393
14,6,22,24,27,0,5,26,38.0,36,4.091559886932373
22,24,14,6,5,26,27,0,38.0,36,4.091559886932373
20,31,29,9,2,9,1,26,25.5,23,2.360342025756836
29,9,20,31,1,26,2,9,25.5,23,2.360342025756836
16,18,20,30,12,5,17,19,18.5,13,1.6611709594726562
20,30,16,18,17,19,12,5,18.5,13,1.6611709594726562
0,21,5,9,30,18,9,24,22.0,19,2.038051128387451
5,9,0,21,9,24,30,18,22.0,19,2.038051128387451
20,28,29,24,9,9,12,0,12.5,11,0.9597129821777344
29,24,20,28,12,0,9,9,12.5,11,0.9597129821777344
8,2,6,29,17,11,5,13,25.5,21,2.9961369037628174
6,29,8,2,5,13,17,11,25.5,21,2.9961369037628174
21,31,18,0,17,0,31,15,32.5,20,3.8173329830169678
18,0,21,31,31,15,17,0,32.5,20,3.8173329830169678
23,14,28,14,12,7,14,0,8.0,8,0.8614590167999268
28,14,23,14,14,0,12,7,8.0,8,0.8614590167999268
0,6,18,28,18,30,3,23,33.0,15,3.372019052505493
18,28,0,6,3,23,18,30,33.0,15,3.372019052505493
20,27,9,16,7,10,6,27,22.0,13,2.057270050048828
9,16,20,27,6,27,7,10,22.0,13,2.057270050048828
12,28,8,9,19,20,24,29,19.5,20,1.8166799545288086
8,9,12,28,24,29,19,20,19.5,20,1.8166799545288086
18,12,10,2,19,2,30,10,18.5,14,1.409642219543457
10,2,18,12,30,10,19,2,18.5,14,1.409642219543457
29,12,11,30,23,4,10,16,30.5,24,2.9293088912963867
11,30,29,12,10,16,23,4,30.5,24,2.9293088912963867
27,4,15,3,9,28,26,30,17.0,12,1.5757160186767578
15,3,27,4,26,30,9,28,17.0,12,1.5757160186767578
17,16,16,13,24,13,10,7,12.0,13,1.4882571697235107
16,13,17,16,10,7,24,13,12.0,13,1.4882571697235107
11,6,17,14,30,19,28,22,9.5,12,0.9970219135284424
17,14,11,6,28,22,30,19,9.5,12,0.9970219135284424
6,10,30,22,10,3,12,20,27.5,29,2.88621187210083
30,22,6,10,12,20,10,3,27.5,29,2.88621187210083
6,9,4,21,16,21,19,28,12.0,11,1.0438499450683594
4,21,6,9,19,28,16,21,12.0,11,1.0438499450683594
27,13,21,5,27,0,4,26,31.5,33,3.7025017738342285
21,5,27,13,4,26,27,0,31.5,33,3.7025017738342285
13,11,7,22,2,18,24,17,22.0,19,2.1608619689941406
7,22,13,11,24,17,2,18,22.0,19,2.1608619689941406
19,5,8,5,22,13,15,3,15.0,11,1.2668349742889404
8,5,19,5,15,3,22,13,15.0,11,1.2668349742889404
12,5,20,8,15,24,31,29,16.0,11,1.560978889465332
20,8,12,5,31,29,15,24,16.0,11,1.560978889465332
8,12,6,29,22,6,18,27,25.0,21,2.5611400604248047
6,29,8,12,18,27,22,6,25.0,21,2.5611400604248047
24,0,22,9,27,7,21,1,11.5,8,0.9598851203918457
22,9,24,0,21,1,27,7,11.5,8,0.9598851203918457
28,8,21,28,8,5,30,1,27.5,20,2.404677152633667
21,28,28,8,30,1,8,5,27.5,20,2.404677152633667
15,3,24,26,5,31,17,7,35.0,23,3.484508991241455
24,26,15,3,17,7,5,31,35.0,23,3.484508991241455
12,20,8,15,14,6,15,5,5.5,7,0.742706298828125
8,15,12,20,15,5,14,6,5.5,7,0.742706298828125
4,20,9,27,5,13,29,23,25.0,20,3.2050559520721436
9,27,4,20,29,23,5,13,25.0,20,3.2050559520721436
26,28,3,1,15,30,31,24,36.0,30,4.014962911605835
3,1,26,28,31,24,15,30,36.0,30,4.014962911605835
21,26,17,6,8,31,19,8,31.0,22,2.9970247745513916
17,6,21,26,19,8,8,31,31.0,22,2.9970247745513916
8,4,31,27,6,14,5,14,24.5,23,5.941219091415405
31,27,8,4,5,14,6,14,24.5,23,5.941219091415405
5,8,1,8,31,22,17,14,13.0,14,1.3664090633392334
1,8,5,8,17,14,31,22,13.0,14,1.3664090633392334
0,20,2,28,4,1,2,0,7.5,7,0.952667236328125
2,28,0,20,2,0,4,1,7.5,7,0.952667236328125
15,7,6,13,5,25,3,25,9.5,9,1.0672798156738281
6,13,15,7,3,25,5,25,9.5,9,1.0672798156738281
27,19,17,30,18,9,21,12,14.5,15,1.5674149990081787
17,30,27,19,21,12,18,9,14.5,15,1.5674149990081787
5,3,28,24,11,15,6,31,32.5,28,3.035161256790161
28,24,5,3,6,31,11,15,32.5,28,3.035161256790161
30,19,19,11,20,19,26,1,21.5,14,1.709252119064331
19,11,30,19,26,1,20,19,21.5,14,1.709252119064331
8,31,31,28,13,25,27,27,23.0,11,2.1378250122070312
31,28,8,31,27,27,13,25,23.0,11,2.1378250122070312
12,1,27,22,10,28,9,20,23.5,28,2.4875640869140625
27,22,12,1,9,20,10,28,23.5,28,2.4875640869140625
12,25,15,8,27,16,27,25,16.5,19,1.5579588413238525
15,8,12,25,27,25,27,16,16.5,19,1.5579588413238525
13,17,26,26,25,7,5,11,1.0,2,60.0
26,26,13,17,5,11,25,7,1.0,2,60.0
28,20,13,26,15,14,11,14,12.5,12,3.0922439098358154
13,26,28,20,11,14,15,14,12.5,12,3.0922439098358154
19,20,4,26,6,24,9,27,14.5,5,2.3118300437927246
4,26,19,20,9,27,6,24,14.5,5,2.3118300437927246
30,12,12,16,14,4,0,30,32.0,28,3.8211898803710938
12,16,30,12,0,30,14,4,32.0,28,3.8211898803710938
30,3,25,5,25,21,27,29,8.5,7,0.9734869003295898
25,5,30,3,27,29,25,21,8.5,7,0.9734869003295898
23,5,30,8,19,20,23,28,11.0,10,0.9647800922393799
30,8,23,5,23,28,19,20,11.0,10,0.9647800922393799
11,17,14,2,12,2,8,18,20.0,14,1.7258391380310059
14,2,11,17,8,18,12,2,20.0,14,1.7258391380310059
10,0,13,11,8,6,7,18,17.5,14,2.1541330814361572
13,11,10,0,7,18,8,6,17.5,14,2.1541330814361572
16,7,30,19,15,16,11,15,17.5,19,4.264294862747192
30,19,16,7,11,15,15,16,17.5,19,4.264294862747192
29,15,5,1,9,30,23,16,34.0,29,3.5261690616607666
5,1,29,15,23,16,9,30,34.0,29,3.5261690616607666
5,29,14,24,2,9,23,6,22.0,24,2.2507119178771973
14,24,5,29,23,6,2,9,22.0,24,2.2507119178771973
5,8,11,28,29,23,1,31,33.0,19,3.207077980041504
11,28,5,8,1,31,29,23,33.0,19,3.207077980041504
24,31,3,13,19,8,31,27,35.0,27,3.4415149688720703
3,13,24,31,31,27,19,8,35.0,27,3.4415149688720703
28,30,3,10,12,4,13,10,27.0,32,6.428661823272705
3,10,28,30,13,10,12,4,27.0,32,6.428661823272705
19,21,29,9,23,12,6,1,25.0,16,2.4963011741638184
29,9,19,21,6,1,23,12,25.0,16,2.4963011741638184
2,29,7,1,7,15,28,14,29.5,28,3.2626070976257324
7,1,2,29,28,14,7,15,29.5,28,3.2626070976257324
26,30,22,0,26,23,0,28,36.5,28,5.08330225944519
22,0,26,30,0,28,26,23,36.5,28,5.08330225944519
8,2,25,11,15,27,27,25,22.0,21,3.3529212474823
25,11,8,2,27,25,15,27,22.0,21,3.3529212474823
14,16,16,26,17,13,24,17,13.5,13,2.342533826828003
16,26,14,16,24,17,17,13,13.5,13,2.342533826828003
13,7,12,31,6,1,9,25,27.0,21,3.563387870788574
12,31,13,7,9,25,6,1,27.0,21,3.563387870788574
28,23,27,9,20,0,21,24,21.0,19,3.5678961277008057
27,9,28,23,21,24,20,0,21.0,19,3.5678961277008057
30,28,8,9,1,18,8,8,29.0,22,4.229414939880371
8,9,30,28,8,8,1,18,29.0,22,4.229414939880371
18,12,3,10,9,22,4,24,14.0,14,1.8502249717712402
3,10,18,12,4,24,9,22,14.0,14,1.8502249717712402
6,17,4,9,10,23,12,11,12.0,14,1.0180420875549316
4,9,6,17,12,11,10,23,12.0,14,1.0180420875549316
22,9,22,1,16,24,23,24,9.5,9,0.72340989112854
22,1,22,9,23,24,16,24,9.5,9,0.72340989112854
16,20,11,2,27,19,5,23,27.5,22,3.0090718269348145
11,2,16,20,5,23,27,19,27.5,22,3.0090718269348145
23,7,2,6,6,3,16,14,23.5,19,2.0970571041107178
2,6,23,7,16,14,6,3,23.5,19,2.0970571041107178
14,11,23,2,14,6,4,1,16.5,12,1.5021791458129883
23,2,14,11,4,1,14,6,16.5,12,1.5021791458129883
27,24,9,23,4,21,17,11,23.0,16,2.59566593170166
9,23,27,24,17,11,4,21,23.0,16,2.59566593170166
3,14,8,29,20,25,22,0,26.5,21,2.7902891635894775
8,29,3,14,22,0,20,25,26.5,21,2.7902891635894775
30,9,17,22,31,19,22,27,21.5,18,2.6117358207702637
17,22,30,9,22,27,31,19,21.5,18,2.6117358207702637
31,9,11,16,22,7,29,11,19.0,19,2.0821189880371094
11,16,31,9,29,11,22,7,19.0,19,2.0821189880371094
27,16,16,14,31,0,5,27,33.0,29,4.135933876037598
16,14,27,16,5,27,31,0,33.0,29,4.135933876037598
28,11,20,30,24,14,28,3,21.0,19,2.184342622756958
20,30,28,11,28,3,24,14,21.0,19,2.184342622756958
14,31,3,4,24,22,2,28,34.0,28,3.885277271270752
3,4,14,31,2,28,24,22,34.0,28,3.885277271270752
4,14,11,28,28,21,9,7,27.0,22,2.837153911590576
11,28,4,14,9,7,28,21,27.0,22,2.837153911590576
19,5,7,25,3,11,29,14,31.5,24,2.8290131092071533
7,25,19,5,29,14,3,11,31.5,24,2.8290131092071533
7,22,20,23,4,4,25,10,22.5,22,2.345606803894043
20,23,7,22,25,10,4,4,22.5,22,2.345606803894043
22,13,19,21,30,7,27,16,11.5,10,0.9241759777069092
19,21,22,13,27,16,30,7,11.5,10,0.9241759777069092
23,15,10,2,20,16,20,8,17.0,16,1.8780872821807861
10,2,23,15,20,8,20,16,17.0,16,1.8780872821807861
29,15,1,6,28,17,15,11,30.0,29,3.108506917953491
1,6,29,15,15,11,28,17,30.0,29,3.108506917953491
26,14,10,19,5,8,25,29,32.0,22,3.4685771465301514
10,19,26,14,25,29,5,8,32.0,22,3.4685771465301514
18,25,10,15,2,9,9,7,13.5,12,1.3742032051086426
10,15,18,25,9,7,2,9,13.5,12,1.3742032051086426
2,29,28,17,15,16,20,25,27.0,16,3.259167432785034
28,17,2,29,20,25,15,16,27.0,16,3.259167432785034
23,25,30,31,14,20,29,25,17.5,6,1.626471996307373
30,31,23,25,29,25,14,20,17.5,6,1.626471996307373
9,7,4,23,24,31,20,10,23.0,24,1.9426028728485107
4,23,9,7,20,10,24,31,23.0,24,1.9426028728485107
14,28,27,13,19,4,10,27,32.0,26,2.949705123901367
27,13,14,28,10,27,19,4,32.0,26,2.949705123901367
22,26,24,31,20,17,0,13,17.5,18,2.2101938724517822
24,31,22,26,0,13,20,17,17.5,18,2.2101938724517822
28,10,28,20,19,23,6,11,18.5,20,2.108919143676758
28,20,28,10,6,11,19,23,18.5,20,2.108919143676758
8,27,11,24,17,5,6,12,12.0,12,1.4628186225891113
11,24,8,27,6,12,17,5,12.0,12,1.4628186225891113
3,22,8,31,18,16,20,14,10.0,7,1.1832449436187744
8,31,3,22,20,14,18,16,10.0,7,1.1832449436187744
16,30,20,7,10,10,17,23,23.5,21,2.1841020584106445
20,7,16,30,17,23,10,10,23.5,21,2.1841020584106445
20,30,25,11,25,4,22,30,28.5,10,3.129706859588623
25,11,20,30,22,30,25,4,28.5,10,3.129706859588623
14,31,8,22,27,6,11,27,27.0,18,2.986527919769287
8,22,14,31,11,27,27,6,27.0,18,2.986527919769287
4,27,22,7,10,11,30,20,35.5,29,3.7894349098205566
22,7,4,27,30,20,10,11,35.5,29,3.7894349098205566
22,30,11,17,15,7,15,13,15.0,19,2.095893144607544
11,17,22,30,15,13,15,7,15.0,19,2.095893144607544
27,1,24,14,30,25,17,18,18.0,16,1.5571060180664062
24,14,27,1,17,18,30,25,18.0,16,1.5571060180664062
13,25,18,0,13,7,10,29,29.5,22,2.9098238945007324
18,0,13,25,10,29,13,7,29.5,22,2.9098238945007324
15,16,15,10,13,11,21,22,12.5,11,1.5862977504730225
15,10,15,16,21,22,13,11,12.5,11,1.5862977504730225
1,13,5,23,19,10,4,21,20.0,13,2.2079269886016846
5,23,1,13,4,21,19,10,20.0,13,2.2079269886016846
31,13,20,20,21,19,17,12,15.5,12,1.5828590393066406
20,20,31,13,17,12,21,19,15.5,12,1.5828590393066406
8,28,23,26,2,20,29,13,29.5,29,4.247192144393921
23,26,8,28,29,13,2,20,29.5,29,4.247192144393921
26,24,6,29,23,31,30,7,31.0,21,3.2341620922088623
6,29,26,24,30,7,23,31,31.0,21,3.2341620922088623
7,25,24,4,19,25,30,4,35.0,23,4.762593030929565
24,4,7,25,30,4,19,25,35.0,23,4.762593030929565
8,9,21,10,2,6,15,23,24.0,26,3.058262825012207
21,10,8,9,15,23,2,6,24.0,26,3.058262825012207
5,21,18,12,0,7,16,7,20.0,18,2.511197805404663
18,12,5,21,16,7,0,7,20.0,18,2.511197805404663
5,7,21,30,9,23,20,28,27.5,19,3.32273006439209
21,30,5,7,20,28,9,23,27.5,19,3.32273006439209
28,8,10,26,2,13,13,5,27.5,27,2.8955600261688232
10,26,28,8,13,5,2,13,27.5,27,2.8955600261688232
2,0,17,21,4,29,26,28,30.5,25,3.8720390796661377
17,21,2,0,26,28,4,29,30.5,25,3.8720390796661377
28,6,7,23,20,22,20,31,23.5,25,2.842513084411621
7,23,28,6,20,31,20,22,23.5,25,2.842513084411621
20,22,22,1,7,16,20,30,27.0,21,2.4358761310577393
22,1,20,22,20,30,7,16,27.0,21,2.4358761310577393
12,13,18,0,15,13,20,15,14.0,9,1.4643669128417969
18,0,12,13,20,15,15,13,14.0,9,1.4643669128417969
20,18,19,30,12,3,12,21,17.5,14,1.8164639472961426
19,30,20,18,12,21,12,3,17.5,14,1.8164639472961426
25,3,9,7,21,25,20,16,15.0,16,2.368079900741577
9,7,25,3,20,16,21,25,15.0,16,2.368079900741577
29,13,31,16,21,15,7,21,12.5,16,1.4821629524230957
31,16,29,13,7,21,21,15,12.5,16,1.4821629524230957
31,24,8,23,24,11,10,8,21.5,22,2.120021104812622
8,23,31,24,10,8,24,11,21.5,22,2.120021104812622
