xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
18,18,0,20,21,4,0,30,33.5,20,5.873646020889282
0,20,18,18,0,30,21,4,33.5,20,5.873646020889282
16,14,31,22,5,26,15,0,29.5,25,2.9083690643310547
31,22,16,14,15,0,5,26,29.5,25,2.9083690643310547
24,11,0,29,4,20,22,6,39.0,20,3.6166818141937256
0,29,24,11,22,6,4,20,39.0,20,3.6166818141937256
10,23,20,30,17,4,19,25,22.0,18,2.258324146270752
20,30,10,23,19,25,17,4,22.0,18,2.258324146270752
3,19,27,22,4,12,20,14,24.5,23,3.372039794921875
27,22,3,19,20,14,4,12,24.5,23,3.372039794921875
8,31,17,22,17,1,24,5,15.5,16,1.3287220001220703
17,22,8,31,24,5,17,1,15.5,16,1.3287220001220703
16,23,13,25,18,31,19,20,9.5,9,0.9731342792510986
13,25,16,23,19,20,18,31,9.5,9,0.9731342792510986
20,24,18,18,4,16,24,6,21.0,27,2.344817876815796
18,18,20,24,24,6,4,16,21.0,27,2.344817876815796
13,23,27,8,4,10,27,7,28.5,18,3.36092209815979
27,8,13,23,27,7,4,10,28.5,18,3.36092209815979
22,22,3,28,16,16,20,20,16.5,13,1.923382043838501
3,28,22,22,20,20,16,16,16.5,13,1.923382043838501
29,31,5,19,23,26,4,26,30.5,29,4.033643007278442
5,19,29,31,4,26,23,26,30.5,29,4.033643007278442
29,0,4,9,11,6,30,26,37.5,28,3.5564520359039307
4,9,29,0,30,26,11,6,37.5,28,3.5564520359039307
26,2,26,4,2,3,21,8,13.0,18,1.6664729118347168
26,4,26,2,21,8,2,3,13.0,18,1.6664729118347168
2,29,26,29,12,21,19,22,19.0,13,2.0597848892211914
26,29,2,29,19,22,12,21,19.0,13,2.0597848892211914
6,9,19,13,14,21,0,26,19.0,13,1.4845099449157715
19,13,6,9,0,26,14,21,19.0,13,1.4845099449157715
19,8,12,23,14,6,30,6,21.0,17,1.7028181552886963
12,23,19,8,30,6,14,6,21.0,17,1.7028181552886963
27,6,12,30,0,11,7,24,31.5,25,3.1761467456817627
12,30,27,6,7,24,0,11,31.5,25,3.1761467456817627
1,21,12,7,24,30,13,25,20.5,23,1.7153258323669434
12,7,1,21,13,25,24,30,20.5,23,1.7153258323669434
7,17,15,12,10,28,11,5,22.5,17,3.712531805038452
15,12,7,17,11,5,10,28,22.5,17,3.712531805038452
17,22,17,13,13,2,5,29,24.0,25,2.8346681594848633
17,13,17,22,5,29,13,2,24.0,25,2.8346681594848633
16,24,8,10,22,18,10,4,25.0,24,2.234010934829712
8,10,16,24,10,4,22,18,25.0,24,2.234010934829712
1,25,4,21,22,13,14,9,9.5,12,0.8586177825927734
4,21,1,25,14,9,22,13,9.5,12,0.8586177825927734
15,14,30,27,15,1,27,23,33.0,16,3.0027551651000977
30,27,15,14,27,23,15,1,33.0,16,3.0027551651000977
6,7,23,28,0,11,12,6,27.5,27,2.7751731872558594
23,28,6,7,12,6,0,11,27.5,27,2.7751731872558594
19,2,4,19,6,22,20,12,30.0,17,2.976724147796631
4,19,19,2,20,12,6,22,30.0,17,2.976724147796631
17,6,24,29,15,12,1,4,27.0,23,2.92191219329834
24,29,17,6,1,4,15,12,27.0,23,2.92191219329834
16,23,27,12,18,19,14,23,15.0,15,1.7849631309509277
27,12,16,23,14,23,18,19,15.0,15,1.7849631309509277
21,26,12,29,26,25,28,17,11.0,11,1.0027549266815186
12,29,21,26,28,17,26,25,11.0,11,1.0027549266815186
26,17,8,31,20,14,26,28,27.0,18,3.1383774280548096
8,31,26,17,26,28,20,14,27.0,18,3.1383774280548096
22,7,11,24,5,29,14,12,29.0,17,2.8533928394317627
11,24,22,7,14,12,5,29,29.0,17,2.8533928394317627
30,26,5,2,7,16,1,15,29.0,28,4.0109922885894775
5,2,30,26,1,15,7,16,29.0,28,4.0109922885894775
25,20,8,15,4,31,15,2,33.0,24,3.1519670486450195
8,15,25,20,15,2,4,31,33.0,24,3.1519670486450195
10,4,31,18,6,28,11,4,36.0,26,4.984954833984375
31,18,10,4,11,4,6,28,36.0,26,4.984954833984375
26,21,21,2,14,15,13,0,22.0,17,2.0084309577941895
21,2,26,21,13,0,14,15,22.0,17,2.0084309577941895
26,21,18,4,4,27,10,24,17.0,19,1.773853063583374
18,4,26,21,10,24,4,27,17.0,19,1.773853063583374
2,24,25,8,1,21,31,18,38.0,32,4.01410984992981
25,8,2,24,31,18,1,21,38.0,32,4.01410984992981
5,13,21,17,13,7,24,6,20.0,18,1.8298118114471436
21,17,5,13,24,6,13,7,20.0,18,1.8298118114471436
29,7,26,18,9,15,5,14,13.5,12,1.7227540016174316
26,18,29,7,5,14,9,15,13.5,12,1.7227540016174316
9,19,15,9,2,16,31,17,26.0,23,2.536316156387329
15,9,9,19,31,17,2,16,26.0,23,2.536316156387329
29,21,4,30,30,15,17,30,31.0,16,2.3243601322174072
4,30,29,21,17,30,30,15,31.0,16,2.3243601322174072
2,22,7,11,20,29,16,17,18.0,16,1.4372479915618896
7,11,2,22,16,17,20,29,18.0,16,1.4372479915618896
8,23,22,9,23,2,29,7,19.5,12,2.027679204940796
22,9,8,23,29,7,23,2,19.5,12,2.027679204940796
6,28,21,2,12,21,3,30,30.5,25,3.3722691535949707
21,2,6,28,3,30,12,21,30.5,25,3.3722691535949707
30,19,28,16,24,10,0,0,20.5,16,2.6413979530334473
28,16,30,19,0,0,24,10,20.5,16,2.6413979530334473
9,11,31,20,12,0,3,31,36.5,29,3.582606792449951
31,20,9,11,3,31,12,0,36.5,29,3.582606792449951
6,20,3,6,13,1,26,15,24.0,23,2.0578057765960693
3,6,6,20,26,15,13,1,24.0,23,2.0578057765960693
28,9,1,29,21,28,26,25,28.5,24,3.160507917404175
1,29,28,9,26,25,21,28,28.5,24,3.160507917404175
10,13,18,9,19,9,3,0,18.5,9,1.6972699165344238
18,9,10,13,3,0,19,9,18.5,9,1.6972699165344238
0,9,5,6,11,15,31,11,18.0,18,1.9464237689971924
5,6,0,9,31,11,11,15,18.0,18,1.9464237689971924
5,25,17,22,20,14,30,15,15.0,13,1.286133050918579
17,22,5,25,30,15,20,14,15.0,13,1.286133050918579
0,17,1,15,9,16,31,27,22.0,20,2.4524600505828857
1,15,0,17,31,27,9,16,22.0,20,2.4524600505828857
18,22,25,2,10,10,0,21,25.0,24,2.1561107635498047
25,2,18,22,0,21,10,10,25.0,24,2.1561107635498047
23,10,2,24,15,16,22,6,26.0,19,2.560324192047119
2,24,23,10,22,6,15,16,26.0,19,2.560324192047119
0,26,18,17,13,4,9,25,27.0,24,2.4444010257720947
18,17,0,26,9,25,13,4,27.0,24,2.4444010257720947
26,6,6,7,9,11,13,1,19.5,11,1.768960952758789
6,7,26,6,13,1,9,11,19.5,11,1.768960952758789
4,28,4,2,17,8,4,1,23.0,13,1.9061028957366943
4,2,4,28,4,1,17,8,23.0,13,1.9061028957366943
15,5,10,15,19,22,14,30,14.0,11,1.4982190132141113
10,15,15,5,14,30,19,22,14.0,11,1.4982190132141113
25,4,27,27,11,4,17,31,32.0,25,2.598097085952759
27,27,25,4,17,31,11,4,32.0,25,2.598097085952759
3,27,19,9,13,17,2,15,25.5,18,2.6408939361572266
19,9,3,27,2,15,13,17,25.5,18,2.6408939361572266
10,3,10,6,30,29,2,23,19.5,26,2.4277901649475098
10,6,10,3,2,23,30,29,19.5,26,2.4277901649475098
1,27,4,7,24,4,27,8,15.0,19,1.4796242713928223
4,7,1,27,27,8,24,4,15.0,19,1.4796242713928223
19,19,28,8,10,7,4,19,19.0,18,1.4868617057800293
28,8,19,19,4,19,10,7,19.0,18,1.4868617057800293
27,28,20,26,20,24,8,30,13.5,10,1.3022069931030273
20,26,27,28,8,30,20,24,13.5,10,1.3022069931030273
10,27,26,25,22,14,9,27,23.0,12,2.0200607776641846
26,25,10,27,9,27,22,14,23.0,12,2.0200607776641846
15,12,19,9,21,27,25,8,15.0,15,1.7366950511932373
19,9,15,12,25,8,21,27,15.0,15,1.7366950511932373
18,13,22,22,31,13,8,11,21.0,19,2.2241592407226562
22,22,18,13,8,11,31,13,21.0,19,2.2241592407226562
8,29,28,18,15,11,28,7,25.0,23,2.4470620155334473
28,18,8,29,28,7,15,11,25.0,23,2.4470620155334473
11,17,26,21,3,11,12,18,19.5,16,1.700627088546753
26,21,11,17,12,18,3,11,19.5,16,1.700627088546753
4,7,15,31,28,1,18,3,24.5,27,2.8353207111358643
15,31,4,7,18,3,28,1,24.5,27,2.8353207111358643
0,18,10,0,15,31,6,27,20.5,21,2.464244842529297
10,0,0,18,6,27,15,31,20.5,21,2.464244842529297
25,18,1,12,3,31,16,21,28.5,27,3.0952069759368896
1,12,25,18,16,21,3,31,28.5,27,3.0952069759368896
15,7,27,9,17,1,10,2,12.0,14,1.559598684310913
27,9,15,7,10,2,17,1,12.0,14,1.559598684310913
8,10,30,18,21,23,27,10,26.5,16,11.218731164932251
30,18,8,10,27,10,21,23,26.5,16,11.218731164932251
29,14,11,3,28,11,20,14,21.0,17,2.457101821899414
11,3,29,14,20,14,28,11,21.0,17,2.457101821899414
15,21,8,14,26,5,13,16,19.0,14,2.154285192489624
8,14,15,21,13,16,26,5,19.0,14,2.154285192489624
13,25,8,20,4,30,0,24,12.0,9,0.9977767467498779
8,20,13,25,0,24,4,30,12.0,9,0.9977767467498779
18,5,24,19,3,4,7,17,22.5,21,2.4215080738067627
24,19,18,5,7,17,3,4,22.5,21,2.4215080738067627
18,27,8,6,14,31,29,13,33.0,28,2.5176968574523926
8,6,18,27,29,13,14,31,33.0,28,2.5176968574523926
31,13,24,12,10,9,31,0,20.0,10,2.5197529792785645
24,12,31,13,31,0,10,9,20.0,10,2.5197529792785645
13,0,28,20,6,0,14,20,32.5,28,3.1436381340026855
28,20,13,0,14,20,6,0,32.5,28,3.1436381340026855
19,2,30,3,14,6,18,25,18.5,21,1.6439239978790283
30,3,19,2,18,25,14,6,18.5,21,1.6439239978790283
29,10,19,20,12,11,27,10,19.0,13,1.5299570560455322
19,20,29,10,27,10,12,11,19.0,13,1.5299570560455322
13,27,7,23,26,14,3,20,19.5,18,2.368604898452759
7,23,13,27,3,20,26,14,19.5,18,2.368604898452759
13,7,3,9,14,13,2,28,20.5,18,2.912541151046753
3,9,13,7,2,28,14,13,20.5,18,2.912541151046753
5,1,8,31,24,4,26,12,23.5,26,3.154492139816284
8,31,5,1,26,12,24,4,23.5,26,3.154492139816284
29,21,23,23,12,6,10,22,14.0,16,2.1409311294555664
23,23,29,21,10,22,12,6,14.0,16,2.1409311294555664
27,9,10,18,10,20,26,25,24.5,15,2.0775909423828125
10,18,27,9,26,25,10,20,24.5,15,2.0775909423828125
27,19,31,13,18,25,17,0,20.0,21,2.35274600982666
31,13,27,19,17,0,18,25,20.0,21,2.35274600982666
