xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
4,18,4,22,4,21,2,18,4.5,4,0.38640475273132324
4,22,4,18,2,18,4,21,4.5,4,0.38640475273132324
8,24,7,21,20,24,3,27,13.0,5,1.616020917892456
7,21,8,24,3,27,20,24,13.0,5,1.616020917892456
24,29,4,8,19,27,2,16,36.5,36,3.4804320335388184
4,8,24,29,2,16,19,27,36.5,36,3.4804320335388184
29,18,13,25,14,3,2,11,21.5,21,1.8234670162200928
13,25,29,18,2,11,14,3,21.5,21,1.8234670162200928
16,9,31,24,28,25,15,2,34.0,21,5.134382963180542
31,24,16,9,15,2,28,25,34.0,21,5.134382963180542
13,18,13,16,16,21,14,26,4.5,6,0.6562309265136719
13,16,13,18,14,26,16,21,4.5,6,0.6562309265136719
5,22,24,12,2,23,15,2,33.5,33,2.8931610584259033
24,12,5,22,15,2,2,23,33.5,33,2.8931610584259033
2,19,20,24,10,3,30,28,37.0,32,3.8724448680877686
20,24,2,19,30,28,10,3,37.0,32,3.8724448680877686
6,1,17,30,1,0,14,8,33.5,35,3.712876081466675
17,30,6,1,14,8,1,0,33.5,35,3.712876081466675
0,22,19,7,18,27,7,21,26.5,30,2.773308753967285
19,7,0,22,7,21,18,27,26.5,30,2.773308753967285
14,18,28,7,21,31,4,25,26.0,24,2.680722951889038
28,7,14,18,4,25,21,31,26.0,24,2.680722951889038
20,22,29,11,8,8,25,2,23.5,20,1.9922468662261963
29,11,20,22,25,2,8,8,23.5,20,1.9922468662261963
18,11,15,5,30,19,6,13,20.5,24,2.4632248878479004
15,5,18,11,6,13,30,19,20.5,24,2.4632248878479004
14,3,4,28,18,30,14,20,26.5,25,2.7643868923187256
4,28,14,3,14,20,18,30,26.5,25,2.7643868923187256
27,31,12,10,2,10,31,23,41.0,27,13.197285890579224
12,10,27,31,31,23,2,10,41.0,27,13.197285890579224
6,30,23,20,12,28,19,25,18.5,19,1.9680290222167969
