xs1,ys1,xg1,yg1,distance,replanning count,time
3,20,14,22,15,14,1.751619815826416
27,14,3,13,29,28,3.480738878250122
9,5,7,14,13,12,1.5590357780456543
28,1,23,28,38,33,4.547750949859619
12,19,31,31,35,23,4.293170928955078
14,25,1,16,22,20,2.626970052719116
18,13,18,21,12,11,1.4669108390808105
9,13,31,0,35,23,4.107567310333252
29,3,25,16,19,17,2.204637050628662
1,22,4,12,19,18,2.3229010105133057
17,18,12,21,8,8,0.934973955154419
1,4,24,6,31,29,3.6085381507873535
25,9,15,11,12,12,1.3811562061309814
21,12,2,22,29,27,3.4512932300567627
25,24,1,7,41,32,4.96769905090332
26,16,29,30,27,16,3.3025150299072266
30,7,24,18,19,18,2.266193151473999
29,29,11,0,47,41,5.815918207168579
12,5,16,18,19,18,2.2447760105133057
5,30,31,3,53,42,6.523286819458008
14,1,18,18,23,22,2.7312989234924316
15,13,21,5,16,14,1.9111449718475342
10,29,16,3,42,40,5.191572189331055
11,28,3,10,30,29,3.612880229949951
4,30,23,2,51,42,6.147677183151245
26,7,10,11,24,24,2.848212957382202
24,12,15,21,18,15,2.1132681369781494
31,22,14,16,23,22,2.7059848308563232
31,17,5,16,27,25,3.2614359855651855
11,11,25,5,22,20,2.5939040184020996
30,10,22,25,27,26,3.1161370277404785
1,22,16,19,20,18,2.3488428592681885
23,9,30,8,8,4,0.950247049331665
12,21,1,9,23,20,2.7293670177459717
2,26,3,4,33,27,4.087437152862549
29,28,9,12,36,33,4.3901708126068115
5,5,21,20,31,31,3.7213711738586426
20,21,5,0,42,33,5.062448978424072
19,18,5,27,23,21,2.7215070724487305
23,2,26,0,5,3,0.5783751010894775
25,24,2,24,31,26,3.725327968597412
16,23,2,14,23,22,2.6770811080932617
13,12,8,23,18,17,2.168231964111328
11,17,23,7,22,21,2.6128313541412354
3,17,15,30,27,21,3.155189037322998
8,17,21,16,14,14,1.6445698738098145
26,2,7,7,32,26,3.733299970626831
31,31,6,7,51,46,6.099150896072388
22,25,23,26,2,2,0.2517850399017334
8,10,20,23,25,25,2.9313299655914307
23,24,6,4,37,31,4.409904956817627
25,18,24,24,11,10,1.2685649394989014
15,8,25,23,27,25,3.1615149974823
21,25,23,24,5,5,0.585256814956665
11,2,22,18,29,26,3.4119811058044434
5,7,20,4,20,16,2.2984330654144287
18,3,23,18,20,20,2.4929537773132324
26,4,22,20,22,21,2.733963966369629
29,2,16,16,27,25,3.3402609825134277
9,27,14,13,19,19,2.4194610118865967
2,30,8,9,31,29,3.8612711429595947
18,23,23,11,17,16,2.1410112380981445
17,20,22,21,6,6,0.7560689449310303
27,10,3,20,40,37,5.111611843109131
6,13,9,0,16,13,1.9965548515319824
30,26,11,16,29,27,3.6024887561798096
30,3,20,26,33,32,4.101770877838135
20,21,2,10,33,30,4.153550863265991
11,9,23,5,18,17,2.21671199798584
13,20,22,6,23,23,2.851624011993408
5,15,25,10,29,26,3.604386806488037
17,13,23,22,15,15,1.8744080066680908
13,28,25,11,29,28,3.6056928634643555
10,12,28,15,23,21,2.874876022338867
1,6,1,11,5,5,0.6184461116790771
5,1,11,14,19,19,2.3646180629730225
0,5,6,31,38,32,4.750325918197632
6,9,5,7,3,3,0.4143810272216797
5,19,4,13,11,11,1.366959810256958
21,6,15,17,17,16,2.134110927581787
23,28,27,13,21,18,2.547969102859497
14,4,20,27,29,28,3.634009838104248
22,4,1,0,29,24,3.4657111167907715
16,12,21,16,9,8,1.1052470207214355
1,21,19,8,37,31,4.644735097885132
23,13,28,6,12,11,1.5128178596496582
18,20,5,16,21,20,2.7305920124053955
16,4,31,22,33,30,4.125089645385742
0,17,18,20,27,26,3.417177200317383
4,6,16,7,21,16,2.6726298332214355
13,14,1,15,15,13,1.8668549060821533
11,3,16,16,20,17,2.4403350353240967
9,6,27,29,41,32,5.237231969833374
7,24,6,26,3,2,0.3778707981109619
11,12,6,26,21,19,2.452319860458374
26,9,1,22,44,41,5.756664037704468
6,11,10,10,5,5,0.5837597846984863
14,15,10,10,9,8,1.0502610206604004
10,26,29,21,32,28,3.9231150150299072
26,2,6,17,35,33,4.061724901199341
19,18,15,8,16,16,1.8854289054870605
14,27,15,31,7,6,0.7850229740142822
27,18,22,4,19,19,4.460517883300781
1,7,18,21,33,31,9.319190979003906
18,21,3,28,26,18,6.484222888946533
20,19,4,20,23,23,2.65804123878479
12,13,28,8,25,23,2.920525074005127
22,20,24,3,23,19,2.66854190826416
13,17,3,4,25,20,2.89648699760437
17,2,12,7,16,12,1.8492538928985596
8,24,17,3,34,28,4.051175117492676
19,14,15,0,26,22,3.103219985961914
12,5,30,13,34,28,4.030975818634033
25,2,3,20,40,37,4.838472843170166
23,28,21,31,5,4,0.5619409084320068
5,19,15,11,20,19,2.405600070953369
26,10,10,27,33,32,3.9521899223327637
14,19,9,28,26,13,4.677011966705322
23,7,7,18,27,26,5.30282187461853
8,16,14,2,20,17,4.129114866256714
19,20,3,9,31,29,6.294133901596069
16,3,28,4,17,14,3.129915952682495
25,12,10,0,29,20,4.8076698780059814
11,13,26,27,29,24,4.450448036193848
1,11,31,8,41,38,6.009351968765259
8,18,18,31,23,20,3.2851290702819824
0,10,24,18,32,30,4.62916111946106
19,14,25,7,13,12,1.835968017578125
29,27,17,24,17,17,2.38555908203125
14,19,15,11,13,13,1.984123945236206
29,12,0,3,44,30,6.9073309898376465
2,6,1,21,28,24,7.517940998077393
27,29,21,28,7,6,1.0929930210113525
28,19,31,12,12,10,1.866926908493042
3,10,30,7,38,31,6.321814060211182
2,23,17,14,24,21,3.3127779960632324
11,12,7,27,23,20,2.5849549770355225
4,19,16,1,32,27,3.590449810028076
23,15,29,7,14,13,6.746023893356323
18,1,18,20,27,26,27.30612277984619
12,12,19,3,16,14,2.0137839317321777
8,21,24,17,22,20,2.7661051750183105
16,23,22,8,23,23,2.960606098175049
20,13,28,19,16,15,2.3117828369140625
13,16,5,20,12,11,1.52836012840271
26,4,4,15,35,32,4.967138051986694
7,7,19,1,18,14,2.2869582176208496
15,14,13,28,18,16,2.2798051834106445
30,22,11,6,41,37,5.336044073104858
27,18,5,5,39,35,5.4831788539886475
17,30,8,24,21,20,3.881155014038086
17,3,4,5,15,14,1.9454848766326904
20,11,1,22,30,27,4.133460998535156
14,25,23,2,36,29,4.7064409255981445
1,24,31,6,56,43,7.076883316040039
11,10,22,30,35,27,4.204723358154297
13,29,10,0,36,33,4.294715166091919
13,31,2,30,12,9,1.3271512985229492
20,6,9,4,15,14,1.7319581508636475
22,22,9,11,24,22,2.847381114959717
17,21,18,28,10,8,1.1686546802520752
1,21,0,1,37,24,4.607774972915649
19,16,21,31,21,19,2.511802911758423
9,0,3,23,37,32,6.5173938274383545
1,6,2,11,6,6,0.6701302528381348
22,8,8,7,23,18,2.694612979888916
20,6,6,31,43,35,5.062460899353027
28,19,12,13,24,24,2.8362228870391846
24,27,6,14,31,29,3.6347179412841797
17,3,8,7,19,15,2.2071611881256104
4,20,14,8,24,21,2.895829916000366
4,28,29,13,40,35,4.781013011932373
24,14,7,7,28,24,3.30991792678833
0,10,6,16,12,11,1.3644318580627441
15,29,26,25,17,14,1.9202110767364502
2,11,22,17,30,29,3.5361154079437256
5,16,30,25,38,30,4.529290199279785
24,31,18,3,46,38,5.537400007247925
22,23,27,14,14,12,1.6187069416046143
3,20,5,24,8,7,0.8790500164031982
19,15,9,1,26,20,3.0502569675445557
11,5,5,5,6,6,0.6808419227600098
7,10,17,8,16,15,1.9277799129486084
23,28,14,15,24,22,2.801873207092285
5,28,27,14,36,32,4.214940786361694
19,7,21,10,5,5,0.5741348266601562
5,15,16,5,23,20,2.6298272609710693
5,21,31,22,31,28,3.6004278659820557
0,25,13,17,23,19,2.6218581199645996
3,25,1,0,37,25,4.768782138824463
16,22,27,14,19,18,2.2113559246063232
29,28,19,2,38,35,4.427520036697388
6,16,29,14,29,26,3.512346029281616
13,14,5,20,14,13,1.6186258792877197
15,21,15,9,22,22,3.2937819957733154
21,31,2,0,52,40,7.331824779510498
28,15,13,5,27,24,3.576399087905884
19,5,16,23,31,29,3.835822105407715
2,8,4,10,4,4,0.45219993591308594
10,15,10,12,3,3,0.34677910804748535
17,0,22,12,17,15,1.9364948272705078
13,14,22,11,12,11,1.407334804534912
14,7,17,7,3,3,0.35508108139038086
12,18,18,10,14,13,1.6834890842437744
9,28,4,5,36,33,4.4596028327941895
16,3,23,12,16,16,1.847215175628662
9,28,18,29,12,11,1.3521702289581299
31,15,7,6,41,35,4.751703977584839
5,14,17,16,14,14,1.6384730339050293
15,9,6,22,24,21,2.8421099185943604
29,5,27,31,32,26,3.6762077808380127
11,25,12,10,20,18,2.331557035446167
23,14,9,27,27,26,3.1950979232788086
4,30,9,8,29,29,3.353794813156128
1,3,21,30,47,42,5.5428900718688965
9,29,6,19,19,15,2.18117094039917
5,0,10,17,24,20,2.7513630390167236
15,10,15,27,25,22,2.969482183456421
28,6,16,28,34,30,3.986555814743042
28,4,1,22,45,40,5.35085391998291
19,23,4,25,27,16,4.124049186706543
14,25,29,25,19,15,2.2375688552856445
0,1,19,18,36,33,4.39288592338562
22,5,20,25,22,22,2.5901050567626953
5,7,7,6,3,3,0.3531031608581543
15,14,0,9,20,14,2.376631021499634
30,31,12,9,42,38,5.085132122039795
5,25,26,25,31,28,3.7229299545288086
4,2,8,0,6,5,0.6880500316619873
0,17,12,6,23,19,2.7222769260406494
30,19,6,13,34,34,4.1882359981536865
26,13,23,16,6,6,0.706413745880127
2,31,13,25,23,22,2.7189831733703613
21,21,5,6,31,27,3.794337034225464
11,2,3,12,18,14,2.102591037750244
7,19,21,30,25,22,2.9411730766296387
1,24,9,28,22,13,2.5973618030548096
21,24,22,20,5,5,0.5925350189208984
11,2,7,11,13,11,1.5185508728027344
13,2,6,1,10,9,1.152651071548462
29,28,29,30,2,2,0.22870564460754395
19,3,3,29,42,33,5.134668827056885
6,27,21,8,34,32,4.121618986129761
31,16,17,30,28,23,3.2983219623565674
19,19,16,22,6,6,0.7251157760620117
8,29,5,21,13,11,1.495246171951294
28,31,11,0,48,43,5.920904159545898
18,1,13,19,25,23,3.0201258659362793
18,24,1,15,28,23,3.355708122253418
12,20,7,8,19,17,2.2552590370178223
20,28,23,18,17,17,2.0524861812591553
14,28,6,0,42,33,5.0912840366363525
24,6,0,12,34,29,4.134600877761841
3,12,13,29,29,25,3.4205322265625
6,31,6,26,7,7,0.7700779438018799
16,22,6,6,28,26,3.350205898284912
27,0,0,15,44,40,5.493902921676636
14,7,15,31,35,28,4.393262147903442
25,18,11,28,28,21,3.287813186645508
18,27,26,30,15,12,1.83070707321167
18,20,1,13,28,25,3.397688865661621
2,24,4,21,5,4,0.5712912082672119
31,22,10,28,33,26,4.010468244552612
2,18,12,25,21,20,2.511251926422119
28,24,25,6,25,23,2.965662956237793
6,11,31,7,35,28,4.238818168640137
16,26,9,12,21,20,2.5222268104553223
1,24,6,31,12,11,1.3677639961242676
28,27,20,13,22,20,2.5731208324432373
13,25,17,0,37,30,4.537361145019531
13,1,18,17,23,22,2.8061330318450928
0,5,4,5,4,4,0.460784912109375
27,21,26,25,5,4,0.5994701385498047
30,30,8,24,34,30,4.17014479637146
18,27,12,5,32,28,3.8626270294189453
31,31,26,6,34,31,4.012774229049683
23,1,12,24,38,34,4.543119668960571
28,19,5,20,34,33,4.082736015319824
27,5,23,19,20,19,2.3836348056793213
23,20,1,7,35,26,4.214127063751221
23,22,12,16,17,15,2.0019750595092773
12,24,29,19,24,24,2.8592069149017334
17,21,8,5,29,27,3.561846971511841
12,24,6,14,18,17,2.0988688468933105
7,24,18,23,14,14,1.627026081085205
24,24,20,14,14,12,1.6726460456848145
7,1,20,26,40,37,4.786473989486694
4,20,20,19,19,18,2.267991065979004
11,9,8,21,17,16,2.032017230987549
4,14,20,15,19,19,2.2368807792663574
13,29,0,4,40,31,4.852759838104248
11,20,11,9,11,11,1.2790391445159912
3,15,9,31,30,17,4.072635889053345
27,10,13,17,25,24,2.9703919887542725
0,3,16,7,28,22,3.3733971118927
11,9,12,21,15,14,1.7934761047363281
26,6,3,9,30,27,3.6277952194213867
17,2,18,17,20,20,2.388735055923462
0,25,27,4,52,42,6.275712013244629
21,9,1,31,42,32,5.105725049972534
0,13,11,11,15,15,1.7889251708984375
18,3,4,28,39,32,4.6654369831085205
5,17,20,17,19,19,2.3486979007720947
29,25,27,13,20,18,2.3169522285461426
19,16,8,13,14,14,1.6773872375488281
3,18,18,11,26,25,3.077694892883301
16,4,11,10,11,11,1.3339531421661377
21,2,31,30,50,34,6.052716970443726
28,12,12,18,22,22,2.5825679302215576
11,22,23,2,36,29,4.358584880828857
14,20,16,21,7,5,0.8502790927886963
12,7,10,30,37,23,4.398952007293701
6,19,24,4,35,30,4.1981401443481445
18,4,24,9,11,10,1.2917039394378662
20,14,12,12,14,14,1.660742998123169
22,31,29,21,17,14,1.968958854675293
1,16,28,6,45,39,5.457568883895874
22,30,16,7,39,36,4.877960205078125
27,13,9,4,29,24,3.487884044647217
8,30,6,5,35,31,4.147173881530762
5,7,7,3,8,7,0.9159998893737793
9,16,25,11,25,23,2.9090328216552734
4,25,4,21,6,6,0.6811239719390869
0,4,9,5,10,9,1.1470658779144287
7,24,1,30,12,3,1.3180429935455322
9,15,15,26,17,16,2.081494092941284
6,14,31,12,35,32,4.2704408168792725
