26,5,20,3,26,13,8,16,14.5,21,2.7086291313171387
22,19,5,21,3,21,21,3,30.5,31,4.917640924453735
20,4,28,17,9,11,1,7,16.5,18,2.7359259128570557
9,17,10,29,11,0,14,14,23.0,19,4.390142917633057
20,17,9,12,11,9,15,29,28.0,21,5.174800872802734
21,24,17,21,11,18,3,11,12.0,15,1.97412109375
17,20,24,19,7,17,18,29,15.5,14,3.030987024307251
7,11,25,7,1,12,4,19,22.0,25,4.893172979354858
13,16,30,9,31,17,12,13,25.5,22,3.722465991973877
18,28,22,12,16,6,6,13,20.5,22,3.0321431159973145
29,6,3,10,7,9,13,30,31.5,26,4.95593786239624
31,6,16,23,21,1,9,31,44.0,37,7.103097200393677
25,8,3,8,7,3,3,5,19.0,20,4.6364500522613525
8,4,25,21,16,26,27,4,36.5,33,5.45295524597168
25,0,31,9,5,28,20,7,25.5,32,4.550729036331177
23,22,0,5,23,31,27,2,40.5,37,5.792547941207886
18,17,22,20,19,20,31,2,20.5,21,4.261341094970703
9,20,29,20,7,3,28,12,30.0,29,4.509161949157715
23,7,14,14,8,19,7,24,13.0,14,2.0451319217681885
0,21,4,9,0,4,3,15,20.0,17,3.2712528705596924
7,16,23,12,1,22,6,17,18.0,19,2.6420319080352783
19,10,8,28,16,4,31,6,29.0,27,5.125124931335449
21,2,28,29,16,4,28,9,28.5,33,5.209658145904541
24,24,11,9,26,7,11,31,37.5,32,5.958131313323975
2,23,17,17,20,27,27,11,23.0,23,3.3082408905029297
14,8,19,23,4,28,24,26,29.0,29,4.589670896530151
25,0,16,18,8,24,4,27,19.0,29,3.9894583225250244
18,1,13,23,13,10,21,10,19.5,23,4.383294105529785
6,5,29,15,18,7,6,22,31.0,32,5.249272108078003
18,11,17,14,8,28,4,5,20.5,30,5.110236883163452
2,6,27,15,21,17,0,22,35.0,31,5.560812950134277
17,18,24,2,20,5,14,27,29.5,31,7.089493989944458
31,3,20,25,16,16,8,8,24.5,27,4.373480319976807
24,3,7,11,23,31,28,1,35.0,30,7.014904022216797
19,8,22,26,16,30,3,15,27.5,28,4.148385047912598
4,12,4,10,5,2,20,3,12.0,17,2.678309679031372
28,17,0,9,15,17,27,7,31.0,32,5.440021991729736
20,8,3,26,26,25,28,19,21.5,31,4.518007040023804
8,18,13,16,14,26,23,27,9.5,11,1.592526912689209
23,12,14,4,24,23,19,7,19.0,17,2.830361843109131
8,8,5,23,22,4,3,17,27.0,23,4.410393238067627
16,31,28,28,8,23,26,13,22.5,26,3.7783701419830322
14,13,29,6,25,24,15,18,21.0,18,3.466277837753296
19,10,3,18,2,3,15,16,26.0,21,3.8613109588623047
22,21,21,16,4,9,29,22,25.0,26,6.285058975219727
21,3,13,14,14,24,25,27,18.5,19,2.9096508026123047
14,15,14,19,0,17,20,9,18.0,24,4.107931137084961
30,30,26,22,30,12,26,17,10.5,11,1.590224027633667
5,4,4,25,10,0,22,0,22.0,26,3.889375925064087
11,25,7,22,27,22,18,26,14.0,14,2.0211501121520996
14,16,13,16,4,5,9,16,9.5,14,2.325007915496826
31,26,7,1,14,26,8,9,40.0,31,7.7341649532318115
3,28,17,31,1,1,22,25,32.0,41,6.449505090713501
21,0,18,13,0,10,5,3,15.0,18,2.3683021068573
12,21,8,15,25,12,13,19,14.5,12,2.761159896850586
11,27,23,2,1,6,4,28,36.0,36,6.265066862106323
5,0,18,15,24,19,10,27,26.0,25,3.849576950073242
5,29,20,28,6,6,0,11,20.5,27,4.000738859176636
5,1,19,30,3,24,14,28,32.0,38,6.432989120483398
28,15,13,21,25,14,6,26,33.0,31,6.20388388633728
